"Freq [GHz]","loss [] - d_au='900nm' d_ln='0.4um' d_lnbd='0.2um' d_si='675um' d_siodw='4.7um' d_sioup='0.8um' gap='5um' gap2='25um' l_tanzhen='500um' l_taper='30um' LNBDSW='1.4um' ly='1000um' r2='40um' r_bend='100um' theta1='60deg' w_au='130um' w_s='100um' w_sig='11um' w_sig2='45um' w_t='0.4um' w_t1='0.2um' x_z='15um'"
56.6925,1.57103955736262
56.745,1.57148428979533
56.7975,1.57192899150684
56.85,1.57237366082127
56.9025,1.57281829605111
56.955,1.573262895497
57.0075,1.57370745744775
57.06,1.57415198018019
57.1125,1.57459646195908
57.165,1.57504090103707
57.2175,1.57548529565452
57.27,1.57592964403948
57.3225,1.57637394440757
57.375,1.57681819496186
57.4275,1.57726239389283
57.48,1.57770653937819
57.5325,1.57815062958287
57.585,1.57859466265883
57.6375,1.57903863674504
57.69,1.57948254996731
57.7425,1.57992640043824
57.795,1.58037018625708
57.8475,1.58081390550963
57.9,1.58125755626815
57.9525,1.58170113659121
58.005,1.58214464452363
58.0575,1.58258807809636
58.11,1.58303143532631
58.1625,1.58347471421633
58.215,1.58391791275502
58.2675,1.58436102891664
58.32,1.58480406066099
58.3725,1.58524700593332
58.425,1.58568986266416
58.4775,1.58613262876923
58.53,1.5865753021493
58.5825,1.58701788069011
58.635,1.58746036226218
58.6875,1.58790274472073
58.74,1.58834502590553
58.7925,1.58878720364079
58.845,1.589229275735
58.8975,1.58967123998084
58.95,1.59011309415499
59.0025,1.59055483601806
59.055,1.59099646331439
59.1075,1.59143797377196
59.16,1.59187936510222
59.2125,1.59232063499997
59.265,1.59276178114321
59.3175,1.59320280119297
59.37,1.59364369279322
59.4225,1.59408445357067
59.475,1.59452508113464
59.5275,1.5949655730769
59.58,1.59540592697156
59.6325,1.59584614037484
59.685,1.59628621082498
59.7375,1.59672613584206
59.79,1.59716591292782
59.8425,1.59760553956552
59.895,1.59804501321979
59.9475,1.59848433133644
60,1.59892349134227
