"Freq [GHz]","loss [] - d_au='900nm' d_ln='0.4um' d_lnbd='0.2um' d_si='675um' d_siodw='4.7um' d_sioup='0.8um' gap='5um' gap2='25um' l_tanzhen='500um' l_taper='30um' LNBDSW='1.4um' ly='1000um' r2='40um' r_bend='100um' theta1='60deg' w_au='130um' w_s='100um' w_sig='11um' w_sig2='45um' w_t='0.4um' w_t1='0.2um' x_z='15um'"
39,1.42579088855632
39.0525,1.42619918735848
39.105,1.42660762657644
39.1575,1.42701620659141
39.21,1.42742492777873
39.2625,1.42783379050789
39.315,1.42824279514259
39.3675,1.42865194204073
39.42,1.42906123155442
39.4725,1.42947066403004
39.525,1.42988023980824
39.5775,1.43028995922397
39.63,1.43069982260648
39.6825,1.43110983027935
39.735,1.43151998256055
39.7875,1.43193027976239
39.84,1.43234072219159
39.8925,1.43275131014929
39.945,1.43316204393105
39.9975,1.43357292382691
40.05,1.43398395012136
40.1025,1.4343951230934
40.155,1.43480644301652
40.2075,1.43521791015876
40.26,1.43562952478269
40.3125,1.43604128714547
40.365,1.43645319749882
40.4175,1.43686525608907
40.47,1.43727746315716
40.5225,1.43768981893868
40.575,1.43810232366387
40.6275,1.43851497755762
40.68,1.43892778083952
40.7325,1.43934073372386
40.785,1.43975383641965
40.8375,1.44016708913062
40.89,1.44058049205526
40.9425,1.44099404538682
40.995,1.44140774931333
41.0475,1.44182160401761
41.1,1.44223560967729
41.1525,1.44264976646483
41.205,1.44306407454751
41.2575,1.44347853408748
41.31,1.44389314524175
41.3625,1.4443079081622
41.415,1.44472282299561
41.4675,1.44513788988366
41.52,1.44555310896295
41.5725,1.44596848036502
41.625,1.44638400421635
41.6775,1.44679968063836
41.73,1.44721550974747
41.7825,1.44763149165505
41.835,1.44804762646748
41.8875,1.44846391428614
41.94,1.44888035520743
41.9925,1.44929694932277
42.045,1.44971369671863
42.0975,1.4501305974765
42.15,1.45054765167297
42.2025,1.45096485937966
42.255,1.45138222066332
42.3075,1.45179973558574
42.36,1.45221740420383
42.4125,1.45263522656963
42.465,1.45305320273026
42.5175,1.45347133272802
42.57,1.45388961660029
42.6225,1.45430805437964
42.675,1.45472664609379
42.7275,1.4551453917656
42.78,1.45556429141314
42.8325,1.45598334504963
42.885,1.4564025526835
42.9375,1.45682191431835
42.99,1.45724142995303
43.0425,1.45766109958155
43.095,1.45808092319318
43.1475,1.4585009007724
43.2,1.45892103229892
43.2525,1.4593413177477
43.305,1.45976175708894
43.3575,1.4601823502881
43.41,1.46060309730588
43.4625,1.46102399809828
43.515,1.46144505261653
43.5675,1.46186626080718
43.62,1.46228762261202
43.6725,1.46270913796816
43.725,1.46313080680799
43.7775,1.46355262905919
43.83,1.46397460464475
43.8825,1.46439673348297
43.935,1.46481901548745
43.9875,1.46524145056712
44.04,1.46566403862622
44.0925,1.46608677956431
44.145,1.46650967327628
44.1975,1.46693271965235
44.25,1.46735591857808
44.3025,1.46777926993435
44.355,1.4682027735974
44.4075,1.46862642943879
44.46,1.46905023732544
44.5125,1.46947419711961
44.565,1.4698983086789
44.6175,1.47032257185629
44.67,1.47074698650008
44.7225,1.47117155245394
44.775,1.47159626955689
44.8275,1.47202113764332
44.88,1.47244615654296
44.9325,1.47287132608091
44.985,1.47329664607762
45.0375,1.4737221163489
45.09,1.47414773670594
45.1425,1.47457350695527
45.195,1.47499942689879
45.2475,1.47542549633375
45.3,1.47585171505277
45.3525,1.47627808284382
45.405,1.47670459949024
45.4575,1.47713126477071
45.51,1.4775580784593
45.5625,1.47798504032538
45.615,1.47841215013373
45.6675,1.47883940764445
45.72,1.47926681261298
45.7725,1.47969436479015
45.825,1.48012206392209
45.8775,1.4805499097503
45.93,1.4809779020116
45.9825,1.48140604043817
46.035,1.48183432475751
46.0875,1.48226275469246
46.14,1.48269132996117
46.1925,1.48312005027714
46.245,1.48354891534916
46.2975,1.48397792488136
46.35,1.48440707857317
46.4025,1.48483637611934
46.455,1.48526581720991
46.5075,1.48569540153022
46.56,1.48612512876092
46.6125,1.48655499857791
46.665,1.48698501065242
46.7175,1.48741516465092
46.77,1.48784546023517
46.8225,1.48827589706219
46.875,1.48870647478427
46.9275,1.48913719304893
46.98,1.48956805149897
47.0325,1.48999904977239
47.085,1.49043018750246
47.1375,1.49086146431764
47.19,1.49129287984165
47.2425,1.49172443369338
47.295,1.49215612548694
47.3475,1.49258795483165
47.4,1.493019921332
47.4525,1.49345202458765
47.505,1.49388426419345
47.5575,1.49431663973941
47.61,1.49474915081066
47.6625,1.49518179698752
47.715,1.49561457784542
47.7675,1.4960474929549
47.82,1.49648054188163
47.8725,1.4969137241864
47.925,1.49734703942506
47.9775,1.49778048714856
48.03,1.49821406690293
48.0825,1.49864777822924
48.135,1.49908162066363
48.1875,1.49951559373727
48.24,1.49994969697636
48.2925,1.50038392990211
48.345,1.50081829203075
48.3975,1.50125278287347
48.45,1.50168740193646
48.5025,1.50212214872089
48.555,1.50255702272284
48.6075,1.50299202343338
48.66,1.50342715033846
48.7125,1.50386240291897
48.765,1.5042977806507
48.8175,1.50473328300431
48.87,1.50516890944533
48.9225,1.50560465943416
48.975,1.50604053242603
49.0275,1.506476527871
49.08,1.50691264521393
49.1325,1.50734888389449
49.185,1.50778524334712
49.2375,1.50822172300102
49.29,1.50865832228014
49.3425,1.50909504060316
