"Freq [GHz]","Zo(1) [] - d_au='900nm' d_ln='0.4um' d_lnbd='0.2um' d_si='675um' d_siodw='4.7um' d_sioup='0.8um' gap='5um' gap2='25um' l_tanzhen='500um' l_taper='30um' LNBDSW='1.4um' ly='1000um' r2='40um' r_bend='100um' theta1='60deg' w_au='130um' w_s='100um' w_sig='11um' w_sig2='45um' w_t='0.4um' w_t1='0.2um' x_z='15um'"
52.65,50 + 0i
52.7025,50 + 0i
52.755,50 + 0i
52.8075,50 + 0i
52.86,50 + 0i
52.9125,50 + 0i
52.965,50 + 0i
53.0175,50 + 0i
53.07,50 + 0i
53.1225,50 + 0i
53.175,50 + 0i
53.2275,50 + 0i
53.28,50 + 0i
53.3325,50 + 0i
53.385,50 + 0i
53.4375,50 + 0i
53.49,50 + 0i
53.5425,50 + 0i
53.595,50 + 0i
53.6475,50 + 0i
53.7,50 + 0i
53.7525,50 + 0i
53.805,50 + 0i
53.8575,50 + 0i
53.91,50 + 0i
53.9625,50 + 0i
54.015,50 + 0i
54.0675,50 + 0i
54.12,50 + 0i
54.1725,50 + 0i
54.225,50 + 0i
54.2775,50 + 0i
54.33,50 + 0i
54.3825,50 + 0i
54.435,50 + 0i
54.4875,50 + 0i
54.54,50 + 0i
54.5925,50 + 0i
54.645,50 + 0i
54.6975,50 + 0i
54.75,50 + 0i
54.8025,50 + 0i
54.855,50 + 0i
54.9075,50 + 0i
54.96,50 + 0i
55.0125,50 + 0i
55.065,50 + 0i
55.1175,50 + 0i
55.17,50 + 0i
55.2225,50 + 0i
55.275,50 + 0i
55.3275,50 + 0i
55.38,50 + 0i
55.4325,50 + 0i
55.485,50 + 0i
55.5375,50 + 0i
55.59,50 + 0i
55.6425,50 + 0i
55.695,50 + 0i
55.7475,50 + 0i
55.8,50 + 0i
55.8525,50 + 0i
55.905,50 + 0i
55.9575,50 + 0i
56.01,50 + 0i
56.0625,50 + 0i
56.115,50 + 0i
56.1675,50 + 0i
56.22,50 + 0i
56.2725,50 + 0i
56.325,50 + 0i
56.3775,50 + 0i
56.43,50 + 0i
56.4825,50 + 0i
56.535,50 + 0i
56.5875,50 + 0i
56.64,50 + 0i
56.6925,50 + 0i
56.745,50 + 0i
56.7975,50 + 0i
56.85,50 + 0i
56.9025,50 + 0i
56.955,50 + 0i
57.0075,50 + 0i
57.06,50 + 0i
57.1125,50 + 0i
57.165,50 + 0i
57.2175,50 + 0i
57.27,50 + 0i
57.3225,50 + 0i
57.375,50 + 0i
57.4275,50 + 0i
57.48,50 + 0i
57.5325,50 + 0i
57.585,50 + 0i
57.6375,50 + 0i
57.69,50 + 0i
